word,ENT,Musculoskeletal,Respiratory
a,372.0,425.0,440.0
aa,0.0,1.0,0.0
aap,0.0,0.0,1.0
abdom,1.0,7.0,7.0
abduc,1.0,3.0,0.0
abduct,0.0,2.0,0.0
abducted,0.0,1.0,0.0
abducting,0.0,1.0,0.0
abduction,0.0,9.0,0.0
abductor,0.0,1.0,0.0
abducts,0.0,1.0,0.0
abg,0.0,0.0,38.0
abgs,0.0,0.0,1.0
ability,2.0,2.0,5.0
able,2.0,2.0,6.0
abnor,1.0,0.0,0.0
abnormal,1.0,11.0,10.0
abnormalities,3.0,11.0,7.0
abnormalitieschest,0.0,0.0,1.0
abnormality,1.0,2.0,4.0
abnormally,0.0,2.0,0.0
aborted,0.0,0.0,1.0
about,7.0,32.0,18.0
above,9.0,11.0,11.0
abrupt,0.0,1.0,0.0
abruptly,0.0,1.0,0.0
abs,1.0,0.0,1.0
abscess,25.0,3.0,19.0
abscessed,1.0,0.0,0.0
abscesses,12.0,0.0,3.0
absence,0.0,5.0,3.0
absent,2.0,2.0,4.0
absorb,1.0,1.0,0.0
absorbable,1.0,0.0,0.0
absorber,0.0,1.0,0.0
absorbs,0.0,0.0,1.0
absorptiometry,0.0,1.0,0.0
absorption,2.0,1.0,0.0
abus,1.0,0.0,0.0
abuse,5.0,2.0,2.0
abusers,0.0,1.0,0.0
ac,1.0,1.0,1.0
academy,0.0,0.0,2.0
accelerate,0.0,2.0,0.0
accelerated,0.0,1.0,1.0
accelerates,0.0,1.0,1.0
accelerating,0.0,1.0,0.0
accentuate,0.0,1.0,0.0
accentuated,0.0,1.0,0.0
accentuates,0.0,1.0,0.0
acceptable,0.0,0.0,2.0
accessory,0.0,1.0,4.0
accidental,1.0,0.0,1.0
accidents,0.0,1.0,2.0
accommodate,0.0,0.0,1.0
accompanied,2.0,5.0,4.0
accompanies,2.0,1.0,2.0
accompany,2.0,1.0,0.0
accompanying,0.0,0.0,2.0
according,0.0,6.0,6.0
accordingly,1.0,2.0,1.0
account,0.0,1.0,1.0
accounting,0.0,1.0,0.0
accounts,0.0,2.0,1.0
accumulate,0.0,1.0,3.0
accumulated,1.0,0.0,1.0
accumulates,1.0,1.0,2.0
accumulating,0.0,0.0,2.0
accumulation,3.0,3.0,11.0
accumulations,0.0,0.0,1.0
accuracy,0.0,0.0,1.0
accurate,1.0,2.0,1.0
accurately,0.0,0.0,1.0
ace,1.0,1.0,0.0
acetabula,0.0,1.0,0.0
acetabular,0.0,3.0,0.0
acetabulum,0.0,7.0,0.0
acetaminophen,6.0,1.0,1.0
acetate,1.0,0.0,0.0
acetazolamide,0.0,0.0,1.0
acetylcholine,0.0,1.0,0.0
ache,1.0,0.0,0.0
achieve,0.0,0.0,3.0
achilles,0.0,16.0,0.0
aching,0.0,3.0,1.0
achycardia,0.0,1.0,0.0
acid,3.0,18.0,5.0
acidba,0.0,0.0,5.0
acidemia,0.0,0.0,1.0
acidfast,0.0,0.0,2.0
acidic,1.0,0.0,0.0
acidifying,1.0,0.0,0.0
acidity,0.0,0.0,1.0
acidosis,0.0,0.0,29.0
acidotic,0.0,0.0,2.0
acids,0.0,1.0,0.0
acini,0.0,0.0,1.0
acoustic,6.0,0.0,0.0
acquire,0.0,1.0,0.0
acquired,2.0,15.0,4.0
acral,0.0,1.0,0.0
acromegaly,0.0,2.0,0.0
acromion,0.0,1.0,0.0
across,1.0,1.0,3.0
acta,0.0,0.0,1.0
action,0.0,1.0,2.0
actionit,0.0,0.0,1.0
actions,0.0,1.0,1.0
activates,0.0,0.0,1.0
activator,0.0,0.0,1.0
active,0.0,15.0,13.0
activities,5.0,13.0,7.0
activity,3.0,25.0,5.0
acts,0.0,1.0,0.0
acuity,2.0,0.0,0.0
acuminata,1.0,0.0,0.0
acute,93.0,40.0,50.0
acyclovir,0.0,0.0,1.0
ad,0.0,1.0,0.0
adapter,0.0,0.0,1.0
add,1.0,0.0,1.0
added,0.0,2.0,0.0
addicts,0.0,0.0,1.0
adding,0.0,1.0,0.0
addition,7.0,5.0,8.0
additional,2.0,4.0,6.0
additionally,0.0,0.0,1.0
addressing,1.0,0.0,0.0
adduc,1.0,2.0,0.0
adduct,0.0,1.0,0.0
adducted,2.0,0.0,0.0
adduction,0.0,1.0,0.0
adductor,0.0,3.0,0.0
ade,1.0,0.0,0.0
adenoid,10.0,0.0,0.0
adenoidal,2.0,0.0,0.0
adenoidectomy,5.0,0.0,0.0
adenoids,2.0,0.0,0.0
adenopathy,2.0,0.0,2.0
adenopathychest,0.0,0.0,1.0
adenosine,0.0,1.0,1.0
adenovirus,0.0,0.0,1.0
adenoviruses,0.0,0.0,1.0
adequate,12.0,20.0,26.0
adequately,0.0,0.0,3.0
adhere,0.0,0.0,2.0
adherence,0.0,1.0,0.0
adherent,0.0,1.0,0.0
adhering,0.0,0.0,1.0
adhesion,0.0,2.0,0.0
adhesions,2.0,0.0,1.0
adhesive,0.0,6.0,0.0
adjacent,3.0,5.0,4.0
adjunctive,0.0,1.0,0.0
adjust,0.0,4.0,5.0
adjusted,0.0,1.0,0.0
adjusting,0.0,1.0,1.0
adjustment,0.0,1.0,0.0
administer,10.0,10.0,18.0
administered,0.0,0.0,3.0
administering,0.0,1.0,2.0
administration,3.0,3.0,20.0
admission,0.0,1.0,0.0
adol,2.0,1.0,0.0
adolescence,1.0,2.0,0.0
adolescencebony,1.0,0.0,0.0
adolescent,2.0,13.0,0.0
adolescents,1.0,3.0,0.0
adrenal,0.0,1.0,2.0
adul,0.0,1.0,0.0
adult,3.0,9.0,2.0
adulthood,0.0,2.0,0.0
adulthoods,0.0,1.0,0.0
adults,17.0,13.0,8.0
adultssore,0.0,0.0,1.0
adultsusually,0.0,1.0,0.0
adv,1.0,0.0,0.0
advance,1.0,0.0,0.0
advanced,3.0,6.0,11.0
advances,0.0,0.0,2.0
advancing,0.0,1.0,0.0
advantage,0.0,1.0,0.0
advent,0.0,0.0,1.0
adventitious,0.0,0.0,2.0
adverse,1.0,8.0,8.0
adversely,1.0,0.0,1.0
advise,11.0,22.0,10.0
aeration,1.0,0.0,1.0
aerobes,0.0,0.0,1.0
aerobic,1.0,0.0,4.0
aerobics,0.0,1.0,0.0
aerosol,0.0,0.0,3.0
aerosolized,0.0,0.0,2.0
af,1.0,0.0,1.0
afb,0.0,0.0,4.0
affect,5.0,7.0,4.0
affected,16.0,45.0,11.0
affecting,1.0,4.0,4.0
affects,3.0,17.0,10.0
afferent,0.0,0.0,1.0
after,72.0,83.0,52.0
afterload,0.0,0.0,1.0
afterward,2.0,3.0,0.0
again,0.0,2.0,0.0
against,11.0,9.0,6.0
agammaglobulinemia,0.0,0.0,1.0
age,11.0,24.0,11.0
aged,0.0,0.0,1.0
agency,0.0,1.0,1.0
agent,1.0,0.0,3.0
agents,0.0,2.0,10.0
ages,4.0,10.0,1.0
aggravate,0.0,2.0,0.0
aggravated,1.0,1.0,0.0
aggravates,0.0,2.0,1.0
aggravating,1.0,0.0,0.0
aggregate,0.0,0.0,1.0
aggressive,1.0,1.0,3.0
aggressively,1.0,0.0,0.0
agi,0.0,2.0,0.0
aging,2.0,4.0,1.0
agitation,1.0,0.0,1.0
ahead,0.0,1.0,0.0
ai,1.0,0.0,1.0
aid,7.0,2.0,4.0
aided,1.0,0.0,0.0
aids,2.0,2.0,1.0
aim,0.0,2.0,0.0
aimed,0.0,1.0,0.0
aiming,1.0,0.0,0.0
aims,0.0,6.0,1.0
ain,0.0,1.0,3.0
ainage,0.0,1.0,0.0
air,30.0,1.0,68.0
airborne,0.0,0.0,5.0
airconditioning,2.0,0.0,1.0
aircraft,1.0,0.0,0.0
airflow,0.0,0.0,4.0
airfluid,0.0,0.0,1.0
airplane,1.0,0.0,0.0
airplanes,1.0,0.0,0.0
airspace,0.0,0.0,1.0
airspaces,0.0,0.0,1.0
airstream,0.0,0.0,1.0
airtissue,1.0,0.0,0.0
airway,22.0,0.0,46.0
airways,0.0,0.0,26.0
akes,0.0,1.0,1.0
al,9.0,5.0,31.0
alanine,0.0,0.0,2.0
albicans,1.0,0.0,0.0
albuminuria,0.0,1.0,0.0
albuterol,0.0,0.0,1.0
alcohol,8.0,7.0,1.0
alcoholic,0.0,2.0,0.0
alcoholism,1.0,2.0,3.0
aldabbagh,0.0,0.0,1.0
alendronate,0.0,2.0,0.0
alert,10.0,3.0,7.0
alertness,0.0,1.0,0.0
align,0.0,1.0,0.0
aligned,0.0,1.0,0.0
alignment,1.0,8.0,0.0
alignmentincreased,0.0,1.0,0.0
alive,0.0,0.0,1.0
alkalemia,0.0,0.0,1.0
alkaline,0.0,7.0,1.0
alkalosis,0.0,0.0,12.0
alkalosisrespiratory,0.0,0.0,1.0
all,7.0,19.0,32.0
allay,0.0,0.0,1.0
allergen,1.0,0.0,0.0
allergenic,0.0,0.0,1.0
allergens,3.0,0.0,1.0
allergic,20.0,1.0,2.0
allergies,9.0,4.0,3.0
allergy,7.0,0.0,0.0
alleviate,0.0,1.0,1.0
allopurinol,0.0,2.0,0.0
allow,6.0,8.0,7.0
allowed,2.0,1.0,0.0
allowing,3.0,5.0,3.0
allows,3.0,2.0,6.0
almost,0.0,4.0,2.0
alone,2.0,5.0,2.0
along,0.0,3.0,1.0
alphaantitrypsin,0.0,0.0,1.0
alphabet,1.0,0.0,0.0
already,0.0,0.0,1.0
also,56.0,82.0,99.0
alter,0.0,0.0,2.0
alteration,1.0,1.0,1.0
alterations,0.0,0.0,2.0
altered,0.0,4.0,2.0
alternate,1.0,0.0,1.0
alternated,0.0,1.0,0.0
alternating,0.0,0.0,1.0
alternatingaircurrent,0.0,1.0,0.0
alternative,4.0,3.0,0.0
alters,0.0,0.0,1.0
although,14.0,17.0,15.0
altitude,1.0,0.0,1.0
altitudes,1.0,0.0,1.0
aluminum,1.0,0.0,1.0
alveolar,0.0,0.0,54.0
alveoli,0.0,0.0,30.0
alveolitis,0.0,0.0,2.0
